iter	Passed	Remaining
0	135	26914
1	136	13526
2	137	9030
3	138	6800
4	140	5470
5	141	4579
6	143	3942
7	144	3467
8	146	3108
9	147	2809
10	149	2560
11	150	2356
12	151	2185
13	153	2035
14	154	1905
15	155	1791
16	157	1691
17	158	1601
18	159	1520
19	160	1448
20	162	1383
21	163	1324
22	164	1268
23	166	1219
24	167	1173
25	169	1131
26	170	1091
27	172	1057
28	173	1022
29	174	991
30	175	958
31	177	930
32	178	903
33	179	877
34	181	854
35	182	832
36	184	811
37	185	792
38	187	774
39	189	757
40	190	739
41	192	723
42	193	707
43	194	691
44	196	676
45	197	661
46	198	647
47	200	634
48	201	622
49	203	610
50	204	598
51	206	587
52	207	575
53	209	565
54	210	555
55	212	546
56	214	537
57	215	528
58	217	518
59	218	510
60	219	501
61	221	492
62	223	485
63	224	478
64	226	470
65	228	463
66	229	456
67	231	448
68	232	441
69	234	434
70	235	427
71	236	421
72	238	414
73	239	408
74	241	401
75	242	395
76	243	389
77	245	383
78	247	378
79	248	372
80	250	367
81	251	361
82	252	356
83	254	350
84	255	345
85	275	364
86	277	360
87	281	357
88	283	353
89	284	348
90	288	345
91	289	339
92	290	334
93	292	330
94	295	327
95	297	322
96	300	318
97	302	314
98	304	310
99	305	305
100	307	301
101	309	297
102	310	292
103	312	288
104	314	284
105	316	280
106	318	277
107	320	273
108	321	268
109	323	264
110	324	260
111	326	256
112	328	252
113	329	248
114	331	244
115	332	240
116	334	237
117	335	233
118	337	229
119	338	225
120	340	222
121	341	218
122	343	214
123	344	211
124	346	207
125	347	204
126	349	201
127	351	197
128	353	194
129	355	191
130	358	188
131	359	185
132	361	182
133	363	179
134	365	176
135	367	173
136	369	170
137	371	166
138	372	163
139	374	160
140	376	157
141	378	154
142	379	151
143	380	148
144	382	145
145	383	141
146	386	139
147	388	136
148	389	133
149	391	130
150	392	127
151	394	124
152	395	121
153	397	118
154	399	115
155	400	112
156	402	110
157	404	107
158	405	104
159	406	101
160	408	98
161	409	96
162	411	93
163	413	90
164	414	87
165	415	85
166	416	82
167	418	79
168	419	76
169	420	74
170	422	71
171	424	69
172	425	66
173	426	63
174	428	61
175	429	58
176	431	56
177	432	53
178	433	50
179	436	48
180	437	45
181	439	43
182	440	40
183	442	38
184	443	35
185	444	33
186	446	31
187	448	28
188	449	26
189	450	23
190	451	21
191	453	18
192	454	16
193	455	14
194	457	11
195	459	9
196	461	7
197	462	4
198	464	2
199	465	0
