area,room,parking,warehouse,elevator,address,price(usd)
63,1,True,True,True,Shahran,61666.67
60,1,True,True,True,Shahran,61666.67
79,2,True,True,True,Pardis,18333.33
95,2,True,True,True,Shahrake Qods,30083.33
123,2,True,True,True,Shahrake Gharb,233333.33
70,2,True,True,False,North Program Organization,68333.33
87,2,True,True,True,Pardis,20000.0
59,1,True,True,True,Shahran,71666.67
54,2,True,True,False,Andisheh,16433.33
71,1,True,True,True,West Ferdows Boulevard,79000.0
68,2,True,True,True,West Ferdows Boulevard,81666.67
64,1,True,True,True,Narmak,70000.0
54,1,False,True,True,Narmak,56333.33
136,3,True,True,True,Saadat Abad,366666.67
95,2,True,True,True,Zafar,166666.67
63,1,False,True,False,Islamshahr,19000.0
155,3,True,True,True,Narmak,223333.33
64,2,False,True,False,Pirouzi,48333.33
140,3,True,True,True,West Ferdows Boulevard,213333.33
42,1,False,True,False,Pirouzi,46333.33
93,2,True,True,True,Shahrake Gharb,233333.33
87,2,True,True,True,Shahrake Shahid Bagheri,83333.33
65,1,True,True,True,Shahran,62666.67
99,2,True,True,True,Moniriyeh,75900.0
105,2,True,True,True,Saadat Abad,238333.33
160,3,True,True,True,Velenjak,498166.67
77,2,True,True,True,Amirieh,59033.33
123,2,True,True,True,Pirouzi,135300.0
110,2,True,True,True,Southern Janatabad,21000.0
100,2,True,True,True,West Ferdows Boulevard,106666.67
90,2,False,True,False,Salsabil,50000.0
49,1,True,True,True,West Ferdows Boulevard,73333.33
96,2,True,True,True,Zargandeh,262400.0
67,2,True,True,False,Feiz Garden,78333.33
68,2,True,True,True,West Ferdows Boulevard,83333.33
62,1,True,False,True,Water Organization,71666.67
55,1,True,True,True,West Ferdows Boulevard,71666.67
110,2,True,True,True,West Ferdows Boulevard,125000.0
129,2,True,True,True,West Ferdows Boulevard,175000.0
109,2,True,True,True,West Ferdows Boulevard,161000.0
58,1,True,True,True,Saadat Abad,113333.33
55,1,True,True,True,Saadat Abad,128333.33
150,2,False,True,True,Shahrake Qods,40000.0
130,3,True,True,False,ShahrAra,166666.67
88,2,True,True,True,Gisha,158333.33
51,1,True,True,True,Gisha,99333.33
113,3,True,True,False,Shahrake Gharb,233333.33
110,2,True,True,True,Ray,67833.33
60,1,True,True,True,Abbasabad,82000.0
98,2,True,True,True,Pardis,18000.0
62,2,False,False,True,Ostad Moein,48333.33
150,3,True,True,True,Farmanieh,333333.33
75,2,False,False,False,Parand,21166.67
61,1,True,True,False,Punak,67666.67
72,2,True,True,True,Shahran,78333.33
100,2,True,True,True,Qasr-od-Dasht,100000.0
122,3,True,True,True,Aqdasieh,240000.0
215,3,True,True,True,Pakdasht,58333.33
101,2,True,True,True,Railway,110000.0
67,2,True,True,True,Punak,93333.33
72,2,True,True,False,Punak,73333.33
63,1,True,True,False,Punak,73333.33
75,2,True,True,False,Punak,73333.33
109,2,True,True,True,Shahran,116666.67
122,2,True,True,True,Aqdasieh,233333.33
70,1,True,True,True,Central Janatabad,103333.33
60,1,True,True,True,West Ferdows Boulevard,81666.67
53,1,True,True,False,East Ferdows Boulevard,64000.0
90,1,False,True,False,Pakdasht KhatunAbad,28333.33
72,2,True,True,True,Amirieh,55000.0
74,2,True,True,True,Amirieh,56666.67
88,3,False,False,True,Parand,18666.67
63,1,True,True,True,Punak,71666.67
114,3,True,True,True,Sattarkhan,183333.33
151,3,True,True,True,Saadat Abad,340000.0
42,1,True,False,True,Shahran,58666.67
300,3,True,True,False,Baghestan,50000.0
110,2,True,True,True,West Ferdows Boulevard,124333.33
100,2,False,False,False,Shahrake Qods,20666.67
140,1,False,False,False,Shahryar,19333.33
70,2,True,True,True,Northern Janatabad,101666.67
60,2,True,True,False,West Ferdows Boulevard,66666.67
76,2,True,True,True,North Program Organization,86666.67
148,3,True,True,True,Daryan No,199666.67
75,2,True,True,True,North Program Organization,76666.67
40,1,True,True,False,Pirouzi,43333.33
65,2,True,True,True,Southern Program Organization,75666.67
140,3,True,True,True,Rudhen,133333.33
110,2,True,True,True,West Pars,133333.33
70,2,True,False,True,Afsarieh,55000.0
128,3,True,True,True,Marzdaran,223333.33
94,2,True,True,True,Parand,19333.33
67,1,True,True,True,Punak,76666.67
75,1,True,True,True,Shahrake Qods,21666.67
130,2,True,True,True,Dorous,563333.33
97,2,True,True,True,Pardis,17000.0
110,2,True,True,True,Shahran,128333.33
150,3,True,True,True,Sadeghieh,200000.0
75,2,False,False,False,Chahardangeh,26000.0
137,3,True,True,True,ShahrAra,240000.0
85,2,True,True,True,Parand,13666.67
68,2,False,True,False,Pakdasht,14333.33
78,2,False,True,False,Baqershahr,26666.67
85,2,True,True,True,Parand,18166.67
100,2,True,True,False,Parand,42666.67
71,2,True,True,True,Punak,93333.33
140,3,True,True,True,Gisha,373333.33
136,3,True,True,False,Parand,25000.0
48,1,False,False,False,Jeyhoon,28333.33
100,2,True,True,True,Lavizan,110000.0
82,2,True,False,True,Shams Abad,109333.33
120,3,True,True,True,Fatemi,160000.0
139,3,True,True,True,Gisha,243333.33
110,3,True,True,True,Keshavarz Boulevard,131666.67
78,2,False,False,True,Parand,12333.33
79,2,False,False,False,Baghestan,25000.0
66,2,True,True,True,Salsabil,57500.0
78,2,True,True,True,Kahrizak,26000.0
85,2,True,True,True,Shahryar,47300.0
100,2,True,True,False,Qarchak,40000.0
80,2,True,True,True,Northren Jamalzadeh,120000.0
44,1,True,True,False,Salsabil,35000.0
120,2,True,True,False,Shahryar,40000.0
50,1,False,True,False,Shahrake Qods,11333.33
121,3,True,True,False,Ostad Moein,110000.0
80,2,True,True,True,Azarbaijan,93333.33
70,2,False,True,True,Bahar,40000.0
160,1,False,False,False,Qarchak,120.0
88,2,True,True,True,Railway,95333.33
141,3,True,True,True,Persian Gulf Martyrs Lake,127000.0
140,3,True,True,True,Persian Gulf Martyrs Lake,59666.67
120,2,True,True,True,Persian Gulf Martyrs Lake,51000.0
66,2,False,True,False,Beryanak,33333.33
70,2,True,True,True,Punak,116666.67
75,2,True,False,True,Heshmatieh,100000.0
70,2,False,True,True,Elm-o-Sanat,60000.0
150,3,True,True,True,Saadat Abad,666666.67
95,2,True,True,True,Golestan,31666.67
127,2,True,True,True,Southern Janatabad,200000.0
123,3,True,True,True,Shahr-e-Ziba,123333.33
63,2,True,True,True,Southern Janatabad,66666.67
90,2,True,True,True,Punak,101666.67
105,2,True,True,True,Pardis,20166.67
180,3,True,True,True,Pasdaran,330000.0
120,3,True,False,True,Pirouzi,123333.33
65,2,True,True,True,Feiz Garden,83333.33
158,3,True,True,True,Farmanieh,349333.33
144,3,True,True,True,Chardivari,254400.0
144,3,True,True,True,Punak,254400.0
130,3,True,True,True,Gheitarieh,410000.0
245,3,True,True,True,Farmanieh,898333.33
190,3,True,True,True,Kamranieh,810000.0
63,2,True,True,True,Central Janatabad,100000.0
75,2,True,True,True,East Ferdows Boulevard,70000.0
88,2,True,False,True,Gholhak,156666.67
108,2,True,True,True,Pasdaran,306000.0
117,2,True,True,True,Islamshahr,52650.0
200,3,True,True,True,Pasdaran,400000.0
65,1,True,True,False,Pirouzi,58333.33
90,2,True,True,True,Central Janatabad,126000.0
125,2,True,True,True,Heravi,270000.0
140,3,True,True,True,Heravi,303333.33
71,2,False,True,True,Hashemi,51666.67
71,2,False,True,True,Jeyhoon,54666.67
236,4,True,True,True,Gheitarieh,666666.67
67,2,True,True,True,Central Janatabad,91666.67
60,1,True,True,True,Punak,58333.33
220,3,True,True,True,Heravi,513333.33
44,1,True,True,False,Andisheh,11666.67
68,1,True,True,True,Heravi,137166.67
100,2,True,True,True,Pasdaran,266666.67
86,2,True,True,True,Pardis,19333.33
84,2,True,True,True,Pardis,18666.67
94,2,True,True,True,Heravi,160000.0
55,1,False,True,False,West Ferdows Boulevard,51666.67
113,2,True,True,True,Saadat Abad,250000.0
71,2,True,True,True,Islamshahr,21000.0
70,2,True,True,False,Dehkade Olampic,66666.67
200,3,True,True,True,Golestan,80000.0
106,2,True,True,True,Golestan,36666.67
320,4,True,True,True,Saadat Abad,800000.0
114,2,True,True,True,West Pars,127333.33
100,2,True,True,True,Punak,200000.0
122,2,True,True,True,Saadat Abad,193333.33
200,2,True,True,False,Damavand,116666.67
154,3,True,True,True,Saadat Abad,410000.0
210,3,True,True,True,Pasdaran,525000.0
200,3,True,True,True,East Ferdows Boulevard,366666.67
65,1,True,True,True,Southern Janatabad,100000.0
124,3,True,True,True,Pirouzi,132266.67
83,2,True,True,True,Republic,63633.33
270,4,True,True,True,Farmanieh,1260000.0
104,2,True,True,True,East Ferdows Boulevard,190000.0
150,3,True,True,True,Zaferanieh,349666.67
103,3,True,True,True,West Ferdows Boulevard,106666.67
48,1,True,True,True,West Ferdows Boulevard,64000.0
165,3,True,True,True,Gheitarieh,410000.0
135,2,True,True,False,Gheitarieh,246666.67
86,2,True,True,True,Saadat Abad,206666.67
75,2,True,True,True,East Ferdows Boulevard,78333.33
58,1,True,True,True,East Ferdows Boulevard,61666.67
125,2,True,True,True,Shahrake Gharb,716666.67
82,2,True,True,True,Qazvin Imamzadeh Hassan,62866.67
58,2,True,True,True,Shahran,73333.33
101,2,True,True,True,Beryanak,77433.33
90,2,True,True,True,Niavaran,226666.67
180,3,True,True,True,Farmanieh,690000.0
132,3,True,True,True,Gheitarieh,208333.33
81,2,True,True,True,Valiasr,62100.0
153,3,True,True,True,Pasdaran,433333.33
166,3,True,True,True,Qalandari,416666.67
200,3,True,True,True,Pasdaran,566666.67
113,2,True,True,True,Pasdaran,283333.33
100,2,True,True,True,Valiasr,76666.67
80,2,True,True,True,Central Janatabad,111666.67
76,2,True,True,True,Jeyhoon,66666.67
128,3,True,True,True,Punak,190000.0
210,3,True,True,True,Shahrake Gharb,900000.0
140,2,True,True,True,Shahrake Gharb,420000.0
74,2,True,True,True,Amir Bahador,56733.33
75,1,True,True,True,Central Janatabad,100000.0
120,2,True,True,True,Pasdaran,250000.0
85,2,True,True,True,Ekhtiarieh,166666.67
105,2,True,True,True,Pardis,23333.33
175,3,True,True,True,Farmanieh,520000.0
170,3,True,True,True,Farmanieh,511666.67
58,1,True,True,True,Ekbatan,93666.67
75,2,True,True,True,Parand,13166.67
160,3,True,True,True,Gheitarieh,503333.33
62,1,True,True,True,Shahran,61666.67
